"measure_ID","measure_name","measure_shortName","indicator_ID","indicator_name","indicator_shortName","content_area_ID","content_area_name","content_area_shortName"
29,"Number of preterm (<37 weeks gestation) live singleton births","Number of preterm live singleton births",NA,NA,"13",NA,NA,NA
30,"Percent of preterm (<37 weeks gestation) live singleton births","Percent of preterm live singleton births",NA,NA,"13",NA,NA,NA
35,"Number of low birthweight (<2,500 grams) live singleton births","Number of low birthweight live singleton births",NA,NA,"14",NA,NA,NA
36,"Percent of low birthweight (<2,500 grams) live singleton births","Percent of low birthweight live singleton births",NA,NA,"14",NA,NA,NA
45,"Total fertility rate per 1,000 women","Total fertility rate",NA,NA,"16",NA,NA,NA
46,"Male to female sex ratio at birth multiplied by 1,000","Male to female sex ratio",NA,NA,"17",NA,NA,NA
47,"Annual number of cases of Bladder Cancer (including in situ) ","Annual number of cases",NA,NA,"18",NA,NA,NA
48,"Age-adjusted incidence rate of Bladder Cancer (including in situ) per 100,000 population ","Age-adjusted rate per 100,000 population",NA,NA,"18",NA,NA,NA
49,"Annual number of cases of Brain and Other Nervous System Cancer ","Annual number of cases",NA,NA,"47",NA,NA,NA
50,"Age-adjusted incidence rate of Brain and Other Nervous System Cancer per 100,000 population ","Age-adjusted rate per 100,000 population",NA,NA,"47",NA,NA,NA
55,"Annual number of cases of Leukemia ","Annual number of cases",NA,NA,"20",NA,NA,NA
56,"Age-adjusted incidence rate of Leukemia per 100,000 population","Age-adjusted rate per 100,000 population",NA,NA,"20",NA,NA,NA
57,"Annual number of cases of Acute Myeloid Leukemia ","Annual number of cases",NA,NA,"21",NA,NA,NA
58,"Age-adjusted incidence rate of Acute Myeloid Leukemia per 100,000 population","Age-adjusted rate per 100,000 population",NA,NA,"21",NA,NA,NA
59,"Annual number of cases of Chronic Lymphocytic Leukemia ","Annual number of cases",NA,NA,"22",NA,NA,NA
60,"Age-adjusted incidence rate of Chronic Lymphocytic Leukemia per 100,000 population","Age-adjusted rate per 100,000 population",NA,NA,"22",NA,NA,NA
61,"Annual number of cases of Lung and Bronchus Cancer ","Annual number of cases",NA,NA,"23",NA,NA,NA
62,"Age-adjusted incidence rate of Lung and Bronchus Cancer per 100,000 population ","Age-adjusted rate per 100,000 population",NA,NA,"23",NA,NA,NA
63,"Annual number of cases of Non-Hodgkin's Lymphoma","Annual number of cases",NA,NA,"24",NA,NA,NA
64,"Age-adjusted incidence rate of Non-Hodgkin's Lymphoma per 100,000 population","Age-adjusted rate per 100,000 population",NA,NA,"24",NA,NA,NA
65,"Annual number of cases of Thyroid Cancer","Annual number of cases",NA,NA,"25",NA,NA,NA
66,"Age-adjusted incidence rate of Thyroid Cancer per 100,000 population ","Age-adjusted rate per 100,000 population",NA,NA,"25",NA,NA,NA
67,"Annual number of cases of Brain and Central Nervous System Cancer among children less than 20 years of age","Number of cases among children less than 20 years of age",NA,NA,"26",NA,NA,NA
68,"Age-adjusted incidence rate of Brain and Central Nervous System Cancer among children less than 20 years of age per 1,000,000 population ","Age-adjusted rate per 1,000,000 population among children less than 20 years of age",NA,NA,"26",NA,NA,NA
69,"Annual number of cases of Brain and Central Nervous System Cancer among children less than 15 years of age","Number of cases among children less than 15 years of age",NA,NA,"26",NA,NA,NA
70,"Age-adjusted incidence rate of Brain and Central Nervous System Cancer among children less than 15 years of age per 1,000,000 population ","Age-adjusted rate per 1,000,000 population among children less than 15 years of age",NA,NA,"26",NA,NA,NA
71,"Annual number of Leukemia among children less than 20 years of age","Number of cases among children less than 20 years of age",NA,NA,"27",NA,NA,NA
72,"Age-adjusted incidence rate of Leukemia among children less than 20 years of age per 1,000,000 population ","Age-adjusted rate per 1,000,000 population among children less than 20 years of age",NA,NA,"27",NA,NA,NA
73,"Annual number of Leukemia among children less than 15 years of age","Number of cases among children less than 15 years of age",NA,NA,"27",NA,NA,NA
74,"Age-adjusted incidence rate of Leukemia among children less than 15 years of age per 1,000,000 population ","Age-adjusted rate per 1,000,000 population among children less than 15 years of age",NA,NA,"27",NA,NA,NA
75,"Annual number of Acute Myeloid Leukemia among children less than 20 years of age","Number of cases among children less than 20 years of age",NA,NA,"28",NA,NA,NA
76,"Age-adjusted incidence rate of Acute Myeloid Leukemia among children less than 20 years of age per 1,000,000 population ","Age-adjusted rate per 1,000,000 population among children less than 20 years of age",NA,NA,"28",NA,NA,NA
77,"Annual number of Acute Myeloid Leukemia among children less than 15 years of age","Number of cases among children less than 15 years of age",NA,NA,"28",NA,NA,NA
78,"Age-adjusted incidence rate of Acute Myeloid Leukemia among children less than 15 years of age per 1,000,000 population ","Age-adjusted rate per 1,000,000 population among children less than 15 years of age",NA,NA,"28",NA,NA,NA
79,"Annual number of cases of Acute Lymphocytic Leukemia among children less than 20 years of age","Number of cases among children less than 20 years of age",NA,NA,"29",NA,NA,NA
80,"Age-adjusted incidence rate of Acute Lymphocytic Leukemia among children less than 20 years of age per 1,000,000 population","Age-adjusted rate per 1,000,000 population among children less than 20 years of age",NA,NA,"29",NA,NA,NA
81,"Annual number of cases of Acute Lymphocytic Leukemia among children less than 15 years of age","Number of cases among children less than 15 years of age",NA,NA,"29",NA,NA,NA
82,"Age-adjusted incidence rate of Acute Lymphocytic Leukemia among children less than 15 years of age per 1,000,000 population ","Age-adjusted rate per 1,000,000 population among children less than 15 years of age",NA,NA,"29",NA,NA,NA
83,"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Number of days with maximum 8-hour average ozone concentration over the NAAQS",NA,NA,"30",NA,NA,NA
84,"Number of person-days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Number of person-days with max 8-hour average ozone concentration over the NAAQS",NA,NA,"30",NA,NA,NA
85,"Percent of days with PM2.5 levels over the National Ambient Air Quality Standard (NAAQS)","Percent of days with PM2.5 levels over the NAAQS",NA,NA,"31",NA,NA,NA
86,"Person-days with PM2.5 over the National Ambient Air Quality Standard","Number of person-days with PM2.5 over the NAAQS",NA,NA,"31",NA,NA,NA
87,"Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement)","Annual average ambient concentrations of PM 2.5 in micrograms per cubic meter",NA,NA,"32",NA,NA,NA
89,"Number of children born in the same year and tested before age 3","Number of children born in the same year and tested before age 3",NA,NA,"33",NA,NA,NA
90,"Percent of children born in the same year and tested before age 3","Percent of children born in the same year and tested before age 3",NA,NA,"33",NA,NA,NA
93,"Number of children born in the same year and tested before age 3 with confirmed blood lead levels of 10 µg/dL or greater","Number of children born in the same year and tested before age 3 with confirmed blood lead levels of 10 µg/dL or greater",NA,NA,"33",NA,NA,NA
94,"Percent of children born in the same year and tested before age 3 with confirmed blood lead levels of 10 µg/dL or greater","Percent of children born in the same year and tested before age 3 with confirmed blood lead levels of 10 µg/dL or greater",NA,NA,"33",NA,NA,NA
95,"Number of homes built before 1950 (as measured in the 2000 Census)","Number of homes built before 1950",NA,NA,"34",NA,NA,NA
96,"Percent of homes built before 1950 (as measured in the 2000 Census)","Percent of homes built before 1950",NA,NA,"34",NA,NA,NA
97,"Number of homes built between 1950 and 1979 (as measured in the 2000 Census)","Number of homes built between 1950 and 1979",NA,NA,"34",NA,NA,NA
98,"Percent of homes built between 1950 and 1979 (as measured in the 2000 Census)","Percent of homes built between 1950 and 1979",NA,NA,"34",NA,NA,NA
99,"Number of hospitalizations for asthma","Number of hospitalizations for asthma ",NA,NA,"35",NA,NA,NA
101,"Crude rate of hospitalization for asthma per 10,000 population ","Crude rate of hospitalization for asthma per 10,000 population ",NA,NA,"35",NA,NA,NA
103,"Age-adjusted rate of hospitalization for asthma per 10,000 population ","Age-adjusted rate of hospitalization for asthma per 10,000 population ",NA,NA,"35",NA,NA,NA
104,"Number of hospitalizations for heart attack among persons 35 and older","Number of hospitalizations for heart attack among persons 35 and older",NA,NA,"36",NA,NA,NA
106,"Crude rate of hospitalization for heart attack among persons 35 and over per 10,000 population ","Crude rate of hospitalization for heart attack among persons 35 and over per 10,000 population ",NA,NA,"36",NA,NA,NA
108,"Age-adjusted rate of hospitalization for heart attack among persons 35 and over per 10,000 population ","Age-adjusted rate of hospitalization for heart attack among persons 35 and over per 10,000 population ",NA,NA,"103",NA,NA,NA
108,"Age-adjusted rate of hospitalization for heart attack among persons 35 and over per 10,000 population ","Age-adjusted rate of hospitalization for heart attack among persons 35 and over per 10,000 population ",NA,NA,"36",NA,NA,NA
